
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-04-21 10:10:03 / .......................................... ~ 516.31ms
  2026-04-21 10:10:06 /v1/models ................................. ~ 574.69ms
  2026-04-21 10:10:12 /v1/models ................................. ~ 500.69ms
  2026-04-21 10:10:18 /v1/models ................................. ~ 500.51ms
  2026-04-21 10:10:24 /v1/models ....................................... ~ 1s
  2026-04-21 10:10:30 /v1/models ....................................... ~ 2s
  2026-04-21 10:10:37 /v1/models ....................................... ~ 1s
  2026-04-21 10:10:43 /v1/models ................................. ~ 500.68ms
  2026-04-21 10:10:49 /v1/models ....................................... ~ 1s
  2026-04-21 10:10:56 /v1/models ....................................... ~ 1s
  2026-04-21 10:11:02 /v1/models ................................. ~ 510.76ms
  2026-04-21 10:11:08 /v1/models ....................................... ~ 1s
  2026-04-21 10:11:14 /v1/models ................................... ~ 0.34ms
  2026-04-21 10:11:20 /v1/models ................................. ~ 500.59ms
  2026-04-21 10:11:25 /v1/models ................................. ~ 500.52ms
  2026-04-21 10:11:29 / .......................................... ~ 500.54ms
  2026-04-21 10:11:30 /login ........................................... ~ 1s
  2026-04-21 10:11:31 /flux/flux.js .................................... ~ 1s
  2026-04-21 10:11:32 /v1/models ....................................... ~ 1s
  2026-04-21 10:11:31 /images/logo.png ................................. ~ 2s
  2026-04-21 10:11:33 /vendor/livewire/livewire.js?id=cfc5c1ae ..... ~ 6.20ms
  2026-04-21 10:11:34 /images/logo.png ............................. ~ 0.37ms
  2026-04-21 10:11:38 /v1/models ................................. ~ 501.36ms
  2026-04-21 10:11:44 /v1/models ................................. ~ 500.52ms
  2026-04-21 10:11:49 /v1/models ....................................... ~ 1s
  2026-04-21 10:11:55 /v1/models ................................. ~ 501.57ms
  2026-04-21 10:12:01 /v1/models ................................. ~ 596.37ms
  2026-04-21 10:12:06 /v1/models ................................. ~ 575.56ms
  2026-04-21 10:12:12 /v1/models ....................................... ~ 1s
  2026-04-21 10:12:17 /v1/models ................................. ~ 500.78ms
  2026-04-21 10:12:23 /v1/models ................................. ~ 501.27ms
  2026-04-21 10:12:29 /v1/models ................................. ~ 501.13ms
  2026-04-21 10:12:34 /v1/models ................................. ~ 500.70ms
  2026-04-21 10:12:40 /v1/models ................................. ~ 574.74ms
  2026-04-21 10:12:45 /v1/models ................................. ~ 500.56ms
  2026-04-21 10:12:50 /login ..................................... ~ 564.12ms
  2026-04-21 10:12:51 /v1/models ....................................... ~ 1s
  2026-04-21 10:12:51 /images/logo.png ................................. ~ 1s
  2026-04-21 10:12:52 /vendor/livewire/livewire.js?id=cfc5c1ae ..... ~ 9.34ms
  2026-04-21 10:12:52 /images/logo.png ............................. ~ 3.64ms
  2026-04-21 10:12:57 /v1/models ....................................... ~ 1s
  2026-04-21 10:13:03 /v1/models ................................. ~ 591.71ms
  2026-04-21 10:13:08 /v1/models ....................................... ~ 2s
  2026-04-21 10:13:15 /v1/models ....................................... ~ 1s
  2026-04-21 10:13:20 /login ........................................... ~ 1s
  2026-04-21 10:13:21 /v1/models ....................................... ~ 1s
  2026-04-21 10:13:22 /images/logo.png ............................. ~ 0.59ms
